v1,v2
non,"Realiza tu búsqueda para tus vacaciones Alojamientos Haz tu reserva online Destino 351 servicios destacados Bus Elije tu asiento Coches 15000 agencias de alquiler Trenes 400 combinaciones Vuelos 30000 vuelos diarios a cualquier ciudad Parking ... en el mismo aeropuerto Ferries un amor en cada puerto... Aburrirse es opcional... Ver más servicios Tenemos la guía más exhaustiva de tu destino, así que si buscas información, has dado con la mejor fuente... Rompiendo mitos: alquilar un coche no es caro. Descubre lo barato que te puede salir moverte a tu antojo durante tus vacaciones con Costasur. ¿Necesitas dejar tu coche en el aeropuerto?. Costasur te ofrece la mejor oferta del mercado, a unos precios sin competencia."
use,"Oceanía es un continente insular de la Tierra constituido por la plataforma continental de Australia, las islas de Nueva Guinea y Nueva Zelanda, y los archipiélagos coralinos y volcánicos de Micronesia, Polinesia y Melanesia. Todas estas islas están distribuidas por el Océano Pacífico. Con una extensión de 9.008.458 km², se trata del continente más pequeño del planeta."
use,"La Batalla naval de Guadalcanal, a veces llamada Tercera batalla de la Isla Savo o Tercera batalla del mar de Salomón (第三次ソロモン海戦 Dai-san-ji Soromon-kaisen?) según las fuentes japonesas, fue una batalla decisiva en la serie que enfrentó a las fuerzas Aliadas (principalmente estadounidenses) contra las fuerzas japonesas, en lo que tradicionalmente se ha denominado de manera conjunta como la Batalla de Guadalcanal."
use,"La batalla naval propiamente dicha consistió en una secuencia de ataques combinados por mar y aire que duró más de cuatro días (desde el 12 al 15 de noviembre de 1942), la mayor parte de ellos en los alrededores de la isla de Guadalcanal, en las islas Salomón, y fueron llevados a cabo para contrarrestar el esfuerzo japonés por reforzar sus fuerzas terrestres en la isla. Durante dos combates nocturnos entre buques de guerra, ambos adversarios perdieron numerosos barcos."
non,Conoce más sobre
non,NO TE PIERDAS: Descubrieron un continente perdido Vía: saberia.com EDITORIAL TELEVISA S.A. DE C.V. TODOS LOS DERECHOS RESERVADOS. TBG - EDITORIAL TELEVISA - NEWS/INFORMATION - GENERAL NEWS
non,NO TE PIERDAS:
non,En http://www.geosp.uq.edu.au/projects/geoserver/geolibrary/csiro_centralaus_98/gislayers/landscapes.htm
non,"Se pueden encontrar en Australia manuales de ecología del paisaje para asignaturas universitarias en http://www.geosp.uq.edu.au/courses/geos/2103/landscape_ecology.pdf y http://www.geosp.uq.edu.au/courses/geos/2103/landscape_ecology2.pdf, completos y muy interesantes. Igualmente, en http://geography.anu.edu.au/programs/geog_sci.html#GEOG3011 se puede encontrar un programa interesante de ecología del paisaje en la Universidad Nacional de Australia. Aunque lo cierto es que las necesidades de la ecología del paisaje no sólo se concentran en Australia y Nueva Zelanda, sino que hay problemas urgentes en otros lugares como Papúa-Nueva Guinea: en la página http://www.bsponline.org/publications/showhtml.php3?20#conservation se encuentran las necesidades de protección del paisaje de dicho país."
non,¿Cuál es su cometido profesional? Por lo ofrecido en las páginas web que tienen las empresas de
non,"a red es, sin duda, el medio ideal para tratar y comprender los \x93paisajes futuros\x94. © Copyright: Valerià Paül. 2001 © Copyright: Ar@cne. 2001"
non,Volver al índice de
non,Menú principal Portada
non,"This website uses cookies to improve your experience while you navigate through the website. Out of these cookies, the cookies that are categorized as necessary are stored on your browser as they are as essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website."
non,These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience.
non,"This website uses cookies to improve your experience while you navigate through the website. Out of these cookies, the cookies that are categorized as necessary are stored on your browser as they are as essential for the working of basic functionalities of the website. We also use third-party cookies that help us analyze and understand how you use this website. These cookies will be stored in your browser only with your consent. You also have the option to opt-out of these cookies. But opting out of some of these cookies may have an effect on your browsing experience"
non,This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
non,"Any cookies that may not be particularly necessary for the website to function and is used specifically to collect user personal data via analytics, ads, other embedded contents are termed as non-necessary cookies. It is mandatory to procure user consent prior to running these cookies on your website"
use,"La palabra país puede referirse a una nación o a una región. Es el principal sinónimo de estado nacional: un área geográfica y una entidad políticamente independiente con su propio gobierno, administración, leyes, la mayor parte de las veces una constitución, policía, fuerzas armadas, leyes tributarias y un grupo humano. Véase estado nacional para conocer la historia del desarrollo de los estados nacionales modernos. Véase estado para una definición según el derecho internacional."
use,"Muchas veces, partes de un estado con una historia o cultura diferentes son llamados países: Gales, Escocia, Inglaterra, País Vasco, Palestina, Irlanda del Norte, Cataluña, Bretaña, Cornualles, Galicia, entre otros, son considerados países, aun cuando no son estados nacionales, sino más bien naciones, regiones o provincias constituyentes de un estado mayor."
use,"Puede referirse también a regiones o incluso comarcas sin grandes diferencias culturales con las de los alrededores (como en País de La Alcarria). Este uso se da especialmente al hablar de las comarcas de Francia (el País del Garona, el País del Loira...) ya que el término español país proviene del francés pays, idioma en el que el término también tiene esta polisemia."
use,"País según el diccionario de la Real Academia de la lengua Española es: ""1. m. Nación, región, provincia o territorio."", por tanto, aun siendo una palabra muy comúnmente asociada a ""estado soberano"" o ""estado nacional"" como sinónimas, su abanico es mucho más amplio y nunca se debiere limitar de forma exclusiva a estos conceptos"
use,"La República Argentina, conocida simplemente como Argentina, es un país soberano de América del Sur, ubicado en el extremo sur y sudeste de dicho subcontinente. Adopta la forma de gobierno republicana, representativa y federal."
use,"El Estado argentino es un Estado federal descentralizado, integrado por un Estado nacional y veintitrés estados provinciales autónomos que constituyen la federación, que jurídicamente son preexistentes y que se reservan todos los poderes no delegados. Los municipios son autónomos y la federación tiene como capital federal a la Ciudad de Buenos Aires, que posee un régimen especial de autonomía establecido en la Constitución."
use,"La Constitución reconoce la preexistencia étnica y cultural de los pueblos indígenas, garantizando sus derechos a la identidad, a una educación bilingüe e intercultural y la propiedad comunitaria de sus tierras. Integra el Mercosur, la Unión de Naciones Sudamericanas (Unasur), la Comunidad de Estados Latinoamericanos y Caribeños (CELAC) y la Organización de Estados Americanos (OEA)."
non,Acuerdos | Temas | Política Comercial | Países | Comercio y PYMEs Home | Novedades | Mapa del Sitio | Recursos | Búsqueda | Exención de responsabilidad
non,El CVSP está bajo una licencia 3.0 de Creative Commons (CC BY-NC 3.0 IGO)
non,Determinados cursos y recursos educativos pueden estar bajo otro tipo de licencia CC
non,Representante de la OPS/OMS en la oficina de Barbados y los países del Caribe Oriental
non,"la OPS/OMS en Trinidad & Tabago Dr. Eva Jane Llopis Representante de la OPS/OMS en Argentina Oficina Sanitaria Panamericana Marcelo T. de Alvear 684, 4o. piso 1058 Buenos Aires, Argentina Country/City Code: 54-11 Teléfonos: 4319-4200 SW Representante de la OPS/OMS en Trinidad & Tobago Dra. Eldonna Boisson Representante de la OPS/OMS en las Bahamas (y Turk & Caicos) Grosvenor Medical Centre off Shirley Street Nassau, Bahamas Country/City Code: 1-242 Teléfonos: 326-7299 SW Fax: 326-7012 Dr. Yitades Gebre Representante de la OPS/OMS en la oficina de Barbados y los países del Caribe Oriental Dayralls and Navy Garden Roads Christ Church Bridgetown, Barbados Country/City Code: 1-246 Teléfonos: 426-3860 SW Fax: 228-5402 Dra. Noreen Jack Representante de la OPS/OMS en Belice 4792 Coney Drive Coney Drive Business Plaza, 3rd Floo Belize City, Belize Country/City Code: 501-2 Teléfonos: 2448-85 SW Fax: 2309-17 Representante de la OPS/OMS en Jamaica Dr. Sebastián Garcia Saisó Director Interino, Centro Latinoamericano y del Caribe de Información en Ciencias de la Salud Rua Vergueiro 1.759, 12° piso 04101-000 São Paulo, SP, Brasil Codigo de País/Ciudad: 55-11 Tel: 5576-9800 SW Dra. Alma Morales Representante de la OPS/OMS en Bolivia Calle 18 No 8022 Edificio Parque 18 Piso 2 y 3 Zona Calacoto La Paz, Bolivia Country/City Code: 591-2 Teléfonos: 2412-313 SW Fax: 2412-598 Dra. Socorro Gross Galiano Representante de la OPS/OMS en Brasil Setor de Embaixadas Norte, Lote 19 70800-400 - Brasilia, D.F., Brasil Country/City Code: 55-61 Teléfonos: 3251-9595 SW Fax: 3251-9591 Ms. Mary Lou Valdez Director Adjunto OPS/OMS 525 Twenty-Third St. N.W. Washington, D.C. 20037 USA Sr. Dean Chambliss Director del Programa Subregional del Caribe Dayralls and Navy Garden Roads Christ Church Bridgetown, Barbados Country/City Code: 1-246 Teléfonos: 426-3860 SW Fax: 436-9779 ',"
non,Contáctenos en la siguiente dirección
non,Para contactar al Webmaster del
non,Para recibir información sobre los cursos y actividades del CVSP tramite su matricula.
non,Términos y condiciones para el uso del CVSP | Atribuciones
use,"La Historia es la ciencia que tiene como objeto de estudio el pasado, tradicionalmente de la humanidad, y como método el propio de las ciencias sociales. También se denomina Historia al período la humanidad que transcurre desde la aparición de la escritura hasta la actualidad, y Prehistoria al período anterior a la aparición de la escritura. Por extensión, se llama historia al pasado mismo en general"
use,"Cristóbal Colón (Cristoforo Colombo, en italiano, o Christophorus Columbus, en latín; de orígenes discutidos, los expertos se inclinan por Génova,n. 1​ donde pudo haber nacido el 31 de octubre de 1451 y se sabe que murió en Valladolid el 20 de mayo de 1506) fue un navegante, cartógrafo, almirante, virrey y gobernador general de las Indias Occidentales al servicio de la Corona de Castilla. Realizó el llamado descubrimiento de América el 12 de octubre de 1492, al llegar a la isla de Guanahani, en las Bahamas."
use,"Efectuó cuatro viajes a las Indias —denominación inicial del continente americano — y aunque posiblemente no fue el primer explorador europeo de América, se le considera el descubridor de un nuevo continente —por eso llamado el Nuevo Mundo— para Europa, al ser el primero que trazó una ruta de ida y vuelta a través del océano Atlántico y dio a conocer la noticia"
use,"Este hecho impulsó decisivamente la expansión mundial de la civilización europea, así como la conquista y colonización por varias de sus potencias del continente americano. No se sabe con certeza hasta qué punto era consciente de que las Américas eran una masa de tierra totalmente separada; nunca renunció claramente a su creencia de que había llegado al Extremo Oriente."
use,"Como gobernador colonial, Colón fue acusado por sus contemporáneos de una importante brutalidad y pronto fue destituido del cargo. Durante su gobierno en La Española, los taínos, un pueblo que fue diezmado y dejado de contabilizar en los censos de la época pero del cual se conservan descendientes, fueron objeto de un impuesto,3​ repartidos entre los colonos y vendidos como esclavos.4​ Algunos historiadores han negado las acusaciones de genocidio realizadas contra él por otros. Las tensas relaciones de Colón con la Corona de Castilla y sus administradores coloniales designados en América condujeron a su arresto y expulsión de La Española en 1500, y posteriormente a un prolongado litigio sobre los beneficios que él y sus herederos reclamaban que les debía la corona"
use,"Su antropónimo es un ícono mundial que inspiró diversas denominaciones, como la de un país: Colombia, y dos regiones de Norteamérica: la Columbia Británica, en Canadá, y el Distrito de Columbia, en Estados Unidos."
use,"Epíclera (ἐπίκληρος) (epíkleros, plural epikleroi) era el término utilizado en la antigua Atenas, y en otras ciudades-Estado griegas, para referirse a la heredera de un padre que, en el momento de su muerte, no dejaba herederos varones. En Esparta y Gortina eran denominadas patrouchoi (πατρούχοι)."
use,"Las mujeres atenienses no tenían permitida la posesión de propiedades en su nombre, lo que derivaba en varias posibilidades con respecto a la herencia de una epíclera: si estaba casada y tenía al menos un hijo varón, el marido debía actuar como administrador del patrimonio del suegro hasta que el hijo tuviese edad suficiente para manejar la herencia; si era soltera, debía casarse con el familiar más cercano a su padre, con el fin de dar a luz al heredero."
use,"Este familiar no estaba obligado a aceptar el matrimonio y, en previsión tanto de este caso como del de la existencia de múltiples candidatos, existía una secuencia previamente definida para la elección del futuro esposo. Por último, si la epíclera estaba casada pero no tenía hijos varones, la evidencia sugiere que podía serle requerido el divorcio si el marido no cumplía con ciertas obligaciones. En todos los casos el patrimonio era propiedad del hijo y a él se adjudicaba; el padre del niño, ya fuese ajeno a la familia o familiar, debía actuar como simple administrador temporal, y la epíclera, como mera transmisora de la herencia paterna."
use,"Las espartanas, a diferencia de las atenienses, sí tenían derecho a la posesión de propiedades en su nombre, por lo que la herencia en Esparta estuvo sujeta a reglas mucho menos restrictivas. El conocimiento de lo que sucedía en otras ciudades-estado es más fragmentario, y se deriva principalmente de las polis de Gortina y Regio de Calabria."
use,"Platón, en sus Leyes, trató este caso, y un gran número de mujeres mitológicas e históricas parecen haberse encontrado en dicha situación. Fueron epícleras, entre otras, Agarista de Sición y Agiatis, viuda del rey espartano Agis IV. La existencia de epícleras ha sido usada para explicar la cantidad de yernos que heredaron directamente de sus suegros en la mitología griega. Por su parte, la Tercera Guerra Sagrada se originó, en parte, por una disputa sobre epícleras."
use,"En la mitología griega, Clío era la musa o diosa protectora de la Historia, además de la poesía épica. Aquí aparece observando antes de anotar en su libro, desde un carro alado cuya rueda es la esfera de un reloj."
non,"Texto tomado de Revista Latinoamericana de Estudios Educativos (Colombia),"
non,"Seleccionar programa: INSTITUCIÓNUNIDAD ACADÉMICAESTADOPROGRAMA Benemérita Universidad Autónoma de PueblaFacultad de Filosofía y LetrasPueblaLicenciatura en Historia Benemérita Universidad Autónoma de PueblaFacultad de Filosofía y LetrasPueblaMaestría en Historia Centro de Investigación y Docencia Económica, A. C. Ciudad de MéxicoMaestría en Historia Internacional Centro de Investigaciones y Estudios Superiores en Antropología Social PeninsularMérida, YucatánMaestría en Historia Centro de Investigaciones y Estudios Superiores en Antropología Social PeninsularMérida, YucatánPrograma de Doctorado en Historia Colegio de MéxicoCentro de Estudios HistóricosCiudad de MéxicoDoctorado en Historia Colegio de San Luis A.C. San Luis PotosíMaestría en Historia Colegio de San Luis A.C. San Luis PotosíDoctorado en Historia El Colegio de Michoacán, A. C.Centro de Estudios Históricos Doctorado en Historia Escuela Nacional de Antropología e Historia Ciudad de MéxicoLicenciatura en Etnohistoria Escuela Nacional de Antropología e Historia Ciudad de MéxicoMaestría en Historia - Etnohistoria Escuela Nacional de Antropología e Historia Ciudad de MéxicoHistoria - Etnohistoria Escuela Nacional de Antropología e Historia Ciudad de MéxicoHistoria Instituto de Investigaciones “Dr. José María Luis Mora” Ciudad de MéxicoLicenciatura en Historia Instituto de Investigaciones “Dr. José María Luis Mora” Ciudad de MéxicoMaestría en Historia Moderna y Contemporánea Instituto de Investigaciones “Dr. José María Luis Mora” Ciudad de MéxicoDoctorado en Historia Moderna y Contemporánea Universidad Anáhuac Ciudad de MéxicoLicenciatura en Historia Universidad Autónoma de AguascalientesCentro de Ciencias Sociales y HumanidadesAguascalientesLicenciatura en Historia Universidad Autónoma de Baja CaliforniaFacultad de Humanidades y Ciencias SocialesBaja CaliforniaLicenciatura en Historia Universidad Autónoma de Baja CaliforniaFacultad de Humanidades y Ciencias SocialesBaja CaliforniaMaestría en Historia Universidad Autónoma de Baja CaliforniaFacultad de Humanidades y Ciencias SocialesBaja CaliforniaDoctorado en Historia Universidad Autónoma de Baja CaliforniaInstituto de Investigaciones HistóricasBaja CaliforniaMaestría en Historia Universidad Autónoma de Baja CaliforniaInstituto de Investigaciones HistóricasBaja CaliforniaDoctorado en Historia Universidad Autónoma de CampecheFacultad de Humanidades e HistoriaCampecheLicenciatura en Historia Universidad Autónoma de Chiapas ChiapasLicenciatura en Historia Universidad Autónoma de ChiapasFacultad de Ciencias Sociales Campus IIIChiapasLicenciatura en Historia Universidad Autónoma de Chihuahua ChihuahuaLicenciatura en historia Universidad Autónoma de Ciudad JuárezUnidad de Estudios Históricos y SocialesChihuahuaLicenciatura en Historia Universidad Autónoma de Ciudad JuárezUnidad de Estudios Históricos y SocialesChihuahuaMaestría en Historia Universidad Autónoma de CoahuilaEscuela de Ciencias SocialesCoahuilaLicenciatura en Historia Universidad Autónoma de la Ciudad de MéxicoColegio de Humanidades y Ciencias SocialesCiudad de MéxicoLicenciatura en Historia y Sociedad Contemporánea Universidad Autónoma de Nuevo LeónFacultad de Filosofía y LetrasNuevo LeónLicenciatura en Historia y Estudios de Humanidades Universidad Autónoma de QuerétaroFacultad de FilosofíaQuerétaroMaestría en Estudios Históricos Universidad Autónoma de San Luis PotosíFacultad de Ciencias Sociales y HumanidadesSan Luis PotosíLicenciatura en Historia Universidad Autónoma de SinaloaFacultad de HistoriaSinaloaMaestría en Historia Universidad Autónoma de SinaloaFacultad de HistoriaSinaloaDoctorado en Historia Universidad Autónoma de TamaulipasUnidad Académica Multidisciplinaria de Ciencias, Educación y HumanidadesTamaulipasLicenciatura en Historia Universidad Autónoma de TlaxcalaFacultad de Filosofía y LetrasTlaxcalaLicenciatura en Historia Universidad Autónoma de TlaxcalaFacultad de Filosofía y LetrasTlaxcalaMaestría en Historia Universidad Autónoma de YucatánFacultad de Ciencias AntropológicasYucatánLicenciatura en Historia Universidad Autónoma de ZacatecasUnidad Académica de HistoriaZacatecasLicenciatura en Historia Universidad Autónoma de ZacatecasUnidad Académica de HistoriaZacatecasMaestría en Historia Universidad Autónoma de ZacatecasUnidad Académica de HistoriaZacatecasDoctorado en Historia Universidad Autónoma del Estado de HidalgoInstituto de Ciencias Sociales y HumanidadesHidalgoLicenciatura en Historia de México Universidad Autónoma Metropolitana- AzcapotzalcoDivisión de Ciencias Sociales y HumanidadesCiudad de MéxicoMaestría en Historiografía Universidad Autónoma Metropolitana- AzcapotzalcoDivisión de Ciencias Sociales y HumanidadesCiudad de MéxicoDoctorado en Historiografía Universidad Autónoma Metropolitana- IztapalapaDivisión de Ciencias Sociales y HumanidadesCiudad de MéxicoLicenciatura en Historia Universidad Autónoma Metropolitana- IztapalapaDivisión de Ciencias Sociales y HumanidadesCiudad de MéxicoMaestría en Humanidades Universidad Autónoma Metropolitana- IztapalapaDivisión de Ciencias Sociales y HumanidadesCiudad de MéxicoDoctorado en Humanidades Universidad de Ciencias y Artes de ChiapasFacultad de HumanidadesChiapasLicenciatura en Historia Universidad de Ciencias y Artes de ChiapasFacultad de HumanidadesChiapasMaestría en Historia Universidad de ColimaCentro Universitario de Investigaciones SocialesColimaDoctorado en Historia Universidad de GuadalajaraCentro Universitario de Ciencias Sociales y Humanidades (CUCSH)JaliscoLicenciatura en Historia Universidad de GuadalajaraCentro Universitario de Ciencias Sociales y Humanidades (CUCSH)JaliscoMaestría en Historia de México Universidad de GuadalajaraCentro Universitario de Ciencias Sociales y Humanidades (CUCSH)JaliscoDoctorado en Historia Universidad de GuanajuatoDivisión de Ciencias Sociales y HumanidadesGuanajuatoLicenciatura en Historia Universidad de GuanajuatoDivisión de Ciencias Sociales y HumanidadesGuanajuatoMaestría en Historia (Estudios Históricos Interdisciplinarios) Universidad de GuanajuatoDivisión de Ciencias Sociales y HumanidadesGuanajuatoMaestría en Historia (Investigación Histórica) Universidad de GuanajuatoDivisión de Ciencias Sociales y HumanidadesGuanajuatoDoctorado en Historia Universidad de SonoraDivisión de Ciencias SocialesSonoraLicenciatura en Historia Universidad IberoamericanaDepartamento de HistoriaCiudad de MéxicoLicenciatura en Historia Universidad IberoamericanaDepartamento de HistoriaCiudad de MéxicoMaestría en Historia Universidad IberoamericanaDepartamento de HistoriaCiudad de MéxicoDoctorado en Historia Universidad Juárez Autónoma de TabascoDivisión Académica de Ciencias Sociales y Humanidades Universidad Michoacana de San Nicolás de HidalgoFacultad de HistoriaMichoacánLicenciatura en Historia Universidad Michoacana de San Nicolás de HidalgoFacultad de HistoriaMichoacánMaestría en Historia Universidad Michoacana de San Nicolás de HidalgoFacultad de HistoriaMichoacánDoctorado en Historia Universidad Nacional Autónoma de MéxicoFES Acatlán, División de HumanidadesEstado de MéxicoLicenciatura en Historia Universidad Nacional Autónoma de MéxicoFacultad de Filosofía y LetrasCiudad de MéxicoLicenciatura en Historia Universidad Nacional Autónoma de MéxicoFacultad de Filosofía y LetrasCiudad de MéxicoMaestría en Historia Universidad Nacional Autónoma de MéxicoFacultad de Filosofía y LetrasCiudad de MéxicoDoctorado en Historia Universidad VeracruzanaÁrea de HumanidadesVeracruzLicenciatura en Historia Universidad VeracruzanaÁrea de HumanidadesVeracruzDoctorado en Historia y Estudios Regionales"
non,"Consulte los artículos y contenidos publicados en este medio, además de los e-sumarios de las revistas científicas en el mismo momento de publicación"
non,Esté informado en todo momento gracias a las alertas y novedades
non,"La Revista Odontológica Mexicana, órgano Oficial de la Facultad de Odontología de la UNAM, publica trimestralmente trabajos nacionales e internacionales resultado de investigaciones científicas originales, artículos de revisión y reportes de casos relacionados con aspectos clínicos, epidemiológicos y básicos de la odontología, en español o inglés. La revista se creó en 2004, con el objetivo de abrir un espacio en el área odontológica en donde participaran, además de la comunidad académica de la facultad, colegas de otras instituciones, hospitales y asociaciones del país y del extranjero. El sistema de arbitraje por pares garantiza altos estándares de calidad. Los ejemplares impresos se distribuyen a bibliotecas de más de 180 universidades de todo el mundo y la versión en línea puede consultarse de forma gratuita"
non,"Biblioteca de la Universidad de Regensburg, Alemania; Biblioteca de la Universidad Federal de São Paulo Brasil; Biblioteca del Instituto de Biotecnología, UNAM; Biblioteca Digital de la Universidad de Chile, República de Chile; Biblioteca Virtual en Salud (BVS), Brasil; LATINDEX (Sistema Regional de Información en Línea para Revistas Científicas de América Latina, el Caribe, España y Portugal); Google Académico; PERIODICA del CICH, UNAM; Medigraphic; Literatura Biomédica; SciELO"
